event_title	event_description	event_room	event_start_day	event_start_time	event_end_day	event_end_time	event_type	event_age_limit
Campfire Cooking In Another World With My Absurd Skill	When a magical realm looks to summon heroes, they’re sorely disappointed to end up with a mediocre salaryman. Mukoda Tsuyoshi may not be a hero, but this conjuring error has given him a delicious power—Online Grocery. And something about this modern food brings with it unbelievable effects. This easy access paired with his cooking skills will have patrons from across the land coming back for more!	TBD	4/8/23	9:00	4/8/23	10:00	Screening	
The Magical Revolution Of The Reincarnated Princess And The Genius Young Lady	When noblewoman Euphyllia is unjustly stripped of her title as the kingdom’s next monarch, the buffoonish Princess Anisphia takes it upon herself to right this wrong. Despite being taken for a fool ’cause of her silly antics, Anisphia is a magic genius, and she has a plan to help Euphyllia regain her good name. But little do they know—their encounter will alter the kingdom and the entire world!	TBD	4/8/23	9:00	4/8/23	10:00	Screening	
Trigun Stampede	Vash the Stampede’s a joyful gunslinging pacifist, so why does he have a $$6 million bounty on his head? That’s what’s puzzling rookie reporter Meryl Stryfe and her jaded veteran partner when looking into the vigilante only to find someone who hates blood. But their investigation turns out to uncover something heinous—his evil twin brother, Millions Knives.	TBD	4/8/23	9:00	4/8/23	10:00	Screening	
Sugar Apple Fairy Tale	Anne Halford is on her way to fulfill her dream of becoming a confectionary artisan, a Silver Sugar Master—however, the road to her destination is filled with a world of danger. To protect herself, she reluctantly buys Challe, a fairy forced into a life of servitude, but she seeks friendship more than a lackey. Torn between his freedom and her needs, she must confront what the sweet life is worth.	TBD	4/8/23	9:00	4/8/23	10:00	Screening	
DR. STONE	Several thousand years after a mysterious phenomenon that turns all of humanity to stone, the extraordinarily intelligent, science-driven boy, Senku Ishigami, awakens.  Facing a world of stone and the total collapse of civilization, Senku makes up his mind to use science to rebuild the world. Starting with his super strong childhood friend Taiju Oki, who awakened at the same time, they will begin to rebuild civilization from nothing...  Depicting two million years of scientific history from the Stone Age to present day, the unprecedented crafting adventure story is about to begin!	TBD	4/8/23	9:00	4/8/23	10:00	Screening	
Ping Pong The Animation	Makoto Tsukimoto (nicknamed Smile) is a quiet high-schooler who's been friends with the loud and energetic Yukata Hoshino (nicknamed Peco) since childhood. They're both in the local table tennis club and both have a natural talent for it, although Smile's personality always enables him from winning against Peco. The club teacher, however, notices Smile's talent and tries to make him gain some sportive tenacity.	TBD	4/8/23	9:00	4/8/23	10:00	Screening	
Handyman Saitou In Another World	Handyman Saitou has never felt special in his life. When he’s dropped into a medieval fantasy world, he gathers a party of unique beings to survive. Surrounded by a heavy warrior, a spell-forgetting wizard, and even a divine fairy princess, he yearns to be helpful. But after Saitou saves everyone during a raid, it’s clear that having a handyman on an adventure isn’t just useful, it’s essential!	TBD	4/8/23	9:00	4/8/23	10:00	Screening	
High Card	After discovering that his orphanage was on the brink of closing due to financial stress, Finn, who was living freely on the streets, set out for a casino with the aim of making a fortune. However, nothing could have prepared Finn for the nightmare that was awaiting him. Once there, Finn encountered a car chase and bloody shootout caused by a manʼs “lucky” card.  Finn will eventually learn what the shootout was about. The world order can be controlled by a set of 52 X-Playing cards with the power to bestow different superhuman powers and abilities to the ones that possess them. With these cards, people can access the hidden power of the “buddy” that can be found within themselves.  There is a secret group of players called High Card, who have been directly ordered by the king of Fourland to collect the cards that have been scattered throughout the kingdom, while moonlighting as employees of the luxury car maker Pinochle. Scouted to become the groupʼs fifth member, Finn soon joins the players on a dangerous mission to find these cards.  “All you need in life are manners, dignity, and the will to bet on your own life.”  However, Whoʼs Who, the rival car maker obsessed with defeating Pinochle, and the Klondikes, the infamous Mafia family, stand in the way of the gang.  A frenzied battle amongst these card obsessed players, fueled by justice, desire, and revenge, is about to begin!	TBD	4/8/23	9:00	4/8/23	10:00	Screening	
The Vampire Dies In No Time	Legendary vampire hunter Ronaldo finds an unlikely (and unwilling) ally in Draluc, the world’s weakest vampire who turns to dust at the slightest attack. Together they’re in for more hilarious misadventures than you can shake a stake at, including enemy vampires, axe-wielding editors, and other pains in the neck.	TBD	4/8/23	9:00	4/8/23	10:00	Screening	
Kaguya-sama: Love Is War	From a good family? Check! A good personality? Check!  Shuchiin Academy is where all these elite students with bright futures flock to.  As the two leaders of the student council, Kaguya Shinomiya and Miyuki Shirogane have supposedly fallen in love…  But after almost half a year, nothing has happened!?  They both have too much pride and can’t be honest.  Things have gotten troublesome, and they are now caught in a war of "How to get the other to confess their love first."  This is a whole new romantic comedy, following an outbreak of cunning warfare between two elite students in love.	TBD	4/8/23	9:00	4/8/23	10:00	Screening	
Play It Cool, Guys	At first glance, these guys look cool and handsome.  You want to get closer to them... but then you realize they're all clumsy!  They forget their wallets, turn on their music on the train without putting their headphones in, put on glasses when they have their contacts in, stab bendy straws backwards into drinks, walk around with a shoehorn that they thought was an umbrella…  Despite being so clumsy, these guys never forget to play it cool. We've collected snippets from their daily lives where they do their clumsy best into 15-minute segments, and we'll be bringing you two cours!  Once you see them in this clumsy comedy that'll heal your soul with laughter, you'll probably fall in love with them, too.	TBD	4/8/23	9:00	4/8/23	10:00	Screening	
The Ice Guy And His Cool Female Colleague	For Himuro, being a descendant of a snow spirit is tough at the workplace when your emotions can lead to snow blasts with snowmen and igloos. Any emotionally charged incident with coworkers can trigger it—conflict, fun, and in this case, romance. And with his lovely and calm coworker Fuyutsuki, he gets more frozen, literally. Get ready for a snow-white office romance that blows in like a blizzard.	TBD	4/8/23	9:00	4/8/23	10:00	Screening	
Bocchi the Rock!	Hitori Gotoh, “Bocchi-chan,” is a girl who’s so introverted and shy around people that she’d always start her conversations with “Ah...”  During her middle school years, she started playing the guitar, wanting to join a band because she thought it could be an opportunity for even someone shy like her to also shine. But because she had no friends, she ended up practicing guitar for six hours every day all by herself.  After becoming a skilled guitar player, she uploaded videos of herself playing the guitar to the internet under the name “Guitar Hero” and fantasized about performing at her school’s cultural festival concert. But not only could she not find any bandmates, before she knew it, she was in high school and still wasn’t able to make a single friend!  She was really close to becoming a shut-in, but one day, Nijika Ijichi, the drummer in Kessoku Band, reached out to her. And because of that, her everyday life started to change little by little...	TBD	4/8/23	9:00	4/8/23	10:00	Screening	
Mob Psycho 100	Kageyama Shigeo, a.k.a. "Mob," is a boy who has trouble expressing himself, but who happens to be a powerful esper. Mob is determined to live a normal life and keeps his ESP suppressed, but when his emotions surge to a level of 100%, something terrible happens to him! As he's surrounded by false espers, evil spirits, and mysterious organizations, what will Mob think? What choices will he make? The anime based on the original story by ONE, the idol of the webcomic world and creator of One-Punch Man, is coming your way with animation by leading animation studio Bones!	TBD	4/8/23	9:00	4/8/23	10:00	Screening	
Maid Cafe Services	Come visit to eat delicious food and be served by maids and butlers from CJN's own Maid Cafe! Tickets must be purchased in advance, either via the website (https://dreamscomechuu.square.site/s/shop) or in-person during the con.  Session 1 of 2	TBD	4/8/23	11:45	4/8/23	14:30	Maid Cafe	
Maid Cafe Services	Come visit to eat delicious food and be served by maids and butlers from CJN's own Maid Cafe! Tickets must be purchased in advance, either via the website (https://dreamscomechuu.square.site/s/shop) or in-person during the con.  Session 2 of 2	TBD	4/8/23	17:00	4/8/23	20:00	Maid Cafe	
Vendor's Hall	Purchase arts, crafts and other goods sold by our talented artists! 	Atrium	4/8/23	12:00	4/8/23	20:00	Special	
